studentId,courseCode,credits,midTermScore,attendanceScore,cumulativeGPA,semesterCourseLoad,finalScore
21001234,CSE101,4,7.07,7.65,3.84,5,8.39
21001234,ENG202,2,5.69,6.71,2.47,6,5.33
21001234,MTH104,4,9.45,8.67,2.35,5,8.18
21001234,PHY105,3,6.75,8.06,3.55,6,6.98
21001234,CS302,4,9.01,6.94,2.51,7,6.73
21001234,BA101,2,9.05,6.71,2.24,6,7.02
21001234,CSE101,4,6.84,8.96,2.32,7,6.43
21001234,ENG202,3,7.17,7.58,3.55,3,8.69
21001234,MTH104,2,8.54,8.66,2.87,3,7.59
21001234,PHY105,3,4.88,7.52,2.15,4,4.89
21001234,CS302,2,5.25,7.47,2.98,7,6.83
21001234,BA101,4,8.45,9.64,1.89,3,6.52
21001234,CSE101,4,6.07,9.01,3.82,5,8.13
21001234,ENG202,4,4.15,8.54,3.33,5,6.67
21001234,MTH104,2,7.84,8.94,2.23,4,6.22
